body,published_on,source,tags,title
"Cryptocurrency arbitrage trading opportunities will always become apparent when a new day comes around. It is evident there are many different ways to make money with cryptocurrency, even if markets are not noting any real gains or losses. The following six coins are worth checking out in this department, as there is some decent money [&#8230;]The post Crypto Arbitrage Today: USDT, TUSD, ZEC, TRX , XEM, ETC appeared first on NullTX.",2018-11-07 13:00:02,themerkle,Coins|Featured|TRX|altcoins|Arbitrage|exchange,"Crypto Arbitrage Today: USDT, TUSD, ZEC, TRX , XEM, ETC"
"FOMO Moments More midweek momentum pushes markets higher; Bitcoin Cash racing ahead, Zcash, XRP and ETH doing well. Markets are on the move. Yesterday’s momentum has grown during Asian trading on Wednesday morning and total crypto capitalization has made it back over $220 billion for the first time in almost a month. Bitcoin has awoken...The post Cryptocurrency Trading Update: Crypto Market Cap Reaches Monthly High appeared first on NewsBTC.",2018-11-07 02:33:21,newsbtc,Bitcoin Cash|Crypto|FOMO|Asian trading session|BCH|ETH|Market Cap,Cryptocurrency Trading Update: Crypto Market Cap Reaches Monthly High
"When it comes to predicting future cryptocurrency price momentum, the opinions can be very different between traders and speculators. In the case of the ZCash price, it seems a fair few people expect the value to dip later this year, rather than witnessing an uptrend. The following three predictions all seem to have some merit [&#8230;]The post 3 Short-Term Profitable ZCash Price Predictions appeared first on NullTX.",2018-11-06 14:00:05,themerkle,Featured|altcoin|Zcash|ZEC,3 Short-Term Profitable ZCash Price Predictions
"A lot of interesting things are happening in the world of cryptocurrencies. With all markets still in the green, it has become apparent there may be a positive end to 2018 after all. Slowly but surely, all markets continue to move up every single day, and ZCash has reached $125 again. A positive trend which [&#8230;]The post ZCash Price Retakes $125 Level to Build Support for Next Bull Run appeared first on NullTX.",2018-11-06 10:06:05,themerkle,News|Price Analysis|altcoin|ZCash Price|ZEC,ZCash Price Retakes $125 Level to Build Support for Next Bull Run
"A new day dawns upon the cryptocurrency markets, which also means there are new arbitrage opportunities waiting to be explored. As is usually the case, YoBit will play an integral part in these trades, as it remains the &#8220;outlier&#8221; for altcoin prices. The following six opportunities can result in some decent profits in exchange for [&#8230;]The post Crypto Arbitrage Today: ETH, ZEC, ETC, EOS, DOGE, BCH appeared first on NullTX.",2018-11-05 17:00:07,themerkle,Coins|DOGE|EOS|ETH|Featured|altcoins|Arbitrage|Profits,"Crypto Arbitrage Today: ETH, ZEC, ETC, EOS, DOGE, BCH"
"The major currency exchange is also exploring Cardano, Zcash and 0x&#8230; U.S cryptocurrency exchange Coinbase is now accepting inbound transfers of Basic Attention Token (BAT), according to a blog post published on Friday. BAT is an Ethereum-based exchange that utilizes privacy-oriented web browser Brave. The major exchange will only enable trading on the BAT/USDC order [&#8230;]The post Coinbase will soon be supporting Basic Attention Token appeared first on CryptoNewsReview.",2018-11-04 10:24:30,cryptonewsreview,Crypto|News|Basic Attention Token|Coinbase,Coinbase will soon be supporting Basic Attention Token
CoinSpeakerHashtoro Launches ZCash MiningCloud mining provider Hashtoro has announced the start of ZCash contracts sale.Hashtoro Launches ZCash Mining,2018-11-02 20:45:07,coinspeaker,Press Release|hashtoro|hashtoro mining|xcash mining|zcash,Hashtoro Launches ZCash Mining
"On the eve of the 10th anniversary of the initial publication of the Bitcoin whitepaper, the cryptocurrency markets recorded their weakest month for trading volume in all of 2018. Most of the leading markets saw a significant decline in trading activity throughout October, but NEO, TRX, QTUM and ZEC posted month-over-month volume increases. Also Read: Venezuela [&#8230;]The post October Volume Report: Weakest Monthly Trading Activity of 2018 appeared first on Bitcoin News.",2018-10-31 22:00:39,bitcoin.com,Market Updates|2018|30%|Activity|BCH|binance coin|bitcoin cash|Bitcoin Core|bnb|BTC|BTM|Bytom|ckusd|dash|day|ETC|ETH|Ethereum|Ethereum Classic|litecoin|LTC|Monthly|N-Markets and Prices|neo|October|Qtum|report|Ripple|Stellar|STR|Tether|trade|tron|USDT|vix|volume|Weakest|XIN|XLM|XRP|zb|Zcash|ZEC,October Volume Report: Weakest Monthly Trading Activity of 2018
"Zerocoin announced on Sunday the their new Zcash ‘Sapling’ hard fork update is now officially implemented and hopes to improve not only network speed but also stability and security. The Sapling hard fork was finally activated at block 419,200.",2018-10-31 02:00:00,cryptoglobe,,Zcash ‘Sapling’ Hard Fork Update to Improve Network Speed and Security
The announcement that Gavin Wood and Jutta Steiner's company is building an alternative client for Zcash comes on Day 0 of Devcon.,2018-10-30 16:01:33,ethnews.com,technology,Parity Technologies To Create New Zcash Client
The Zcash Foundation is partnering with an ethereum startup on a project that could boost interoperability across the crypto ecosystem.,2018-10-30 11:59:06,coindesk,Features|Business News|Other Public Protocols|Technology News|Startups|zcash|Parity Technologies|Zcash Foundation|Polkadot,Parity to Help Zcash (the Currency) Gain Independence From Zcash (the Startup)
"CoinSpeakerFaster, Lighter and More Secure: Zcash Completes &#8216;Sapling&#8217; Hard ForkA long-awaited ZCash upgrade known as Sapling is here: now transactions are faster and need much less memory than they used to do earlier.Faster, Lighter and More Secure: Zcash Completes &#8216;Sapling&#8217; Hard Fork",2018-10-30 11:06:20,coinspeaker,Altcoins|Cryptocurrencies|News|overwinter hard fork|sapling hard fork|zcash|zcash hard fork|zcash network|zcash sapling,"Faster, Lighter and More Secure: Zcash Completes ‘Sapling’ Hard Fork"
"ZCash (ZEC) has just launched a long-awaited upgrade called Sapling — a project that was seen as a method of improving the usability of ZCash protocol. Success! We’re happy to announce that the #Zcash Sapling network upgrade activated today at block height 419200. #Sapling introduces new #shielded addresses with significantly improved performance. Learn more: https://t.co/IGoqNdlz3N...The post Sapling on Zcash (ZEC) is Working, and it&#8217;s a Big Deal appeared first on NewsBTC.",2018-10-30 03:00:24,newsbtc,Altcoins|Crypto|privacy|Sapling|ZCash|ZEC|zn-SNARKS,"Sapling on Zcash (ZEC) is Working, and it’s a Big Deal"
The zcash protocol implemented its Sapling upgrade on Sunday in the hopes of making transactions faster and more secure.,2018-10-29 17:00:35,coindesk,News|Other Public Protocols|Technology News|zcash|Hard Forks|Sapling|Upgrades,Privacy Crypto Zcash Goes Live With 'Sapling' Network Hard Fork
"Privacy-focused Zcash, currently worth just over $110 per coin, has completed a network upgrade dubbed “Sapling” that it says will vastly improve transaction speed as well as reduce the actual size of transactions themselves. Zcash hopes that this will make mobile and other types of transactions more common and feasible on the network, saying itThe post Privacy Coin Zcash Completes &#8220;Sapling&#8221; Network Upgrade appeared first on CCN",2018-10-29 16:40:51,ccn,Altcoin News|Bitcoin Technology|monero|privacy|Sapling|Zcash|ZEC,Privacy Coin Zcash Completes “Sapling” Network Upgrade
"Bitcoin market see some minor fluctuations, as most of the top twenty coins on CoinMarketCap see changes of less than 1 percent in either direction",2018-10-28 20:40:00,cointelegraph,Altcoin|Bitcoin Price|Cryptocurrencies|Ethereum Price|Ripple|IOTA|ZCash|Dash,"Crypto Markets Keep Seeing Minor Fluctuations, Price Changes Mostly Around One Percent"
"Making money in the world of cryptocurrencies has been an ongoing challenge during this extended bearish period. Margin trading is still possible, although exploiting arbitrage opportunities will seemingly yield better short-term results. That is not entirely abnormal, primarily because all of the top markets remain stuck in the dirt until Bitcoin finally picks up the [&#8230;]The post Daily Arbitrage: TRX, Dash, XEM, XMR, ETC, ZEC appeared first on NullTX.",2018-10-26 20:45:55,themerkle,Coins|Featured|TRX|altcoins|Arbitrage|Exchanges,"Daily Arbitrage: TRX, Dash, XEM, XMR, ETC, ZEC"
Sapling is here.,2018-10-26 20:42:23,ethnews.com,cryptocurrencies and tokens,"Zcash To Hard Fork Monday, Enabling Lighter Private Transactions"
Stocks turmoil fails to spark volatility in cryptocurrency as markets continue their steadfast stability,2018-10-26 17:11:00,cointelegraph,Bitcoin|Ethereum|Volatility|Zcash,"All Quiet on the Crypto Front as Bitcoin, Altcoins Shun Volatility"
"An inverse head and shoulders pattern formed in privacy-focused cryptocurrency Zcash. This is a typical trend reversal pattern but may be breaking down with price action failing to overcome resistance at the 50 EMA. Price action rose above the 50 EMA yesterday but has since retraced below. Price has dropped around 5% on significant volume, [&#8230;]Zcash [ZEC] Declines After Failing to Break Support was originally found on [blokt] - Blockchain, Bitcoin &amp; Cryptocurrency News.",2018-10-26 16:04:21,blokt,Technical Analysis,Zcash [ZEC] Declines After Failing to Break Support
"On October 23rd 2018, Bitcoin maximalist Giacomo Zucco was interviewed by Crypto Insider. During his dialogue with Vlad Costea, he agreed to play a little game in which he rated the top 20 cryptocurrencies on a scale from 1 to 10. The system is rather simple: a rating of 1 means that it&#8217;s an obvious [&#8230;]The post Giacomo Zucco rates the top 20 cryptocurrencies from CoinMarketCap appeared first on Crypto Insider.",2018-10-26 14:50:05,cryptoinsider,Altcoins|Bitcoin|Cryptocurrency|Video|Binance Coin|Bitcoin Cash|BNB|Cardano|Dash|eos|ETC|Ethereum|Ethereum Classic|IOTA|Litecoin|monero|NEM|NEO|Ripple|Stellar|tether|Tezos|TRON|xrp|Zcash,Giacomo Zucco rates the top 20 cryptocurrencies from CoinMarketCap
"Zcash's upcoming Sapling hard fork, expected to execute on Oct. 29, makes substantial improvements to the efficiency of its private transactions.",2018-10-26 08:00:51,coindesk,Features|Other Public Protocols|Technology News|Privacy|Subfeatured|zcash|zk-SNARKs|Sapling,Zcash's Next Upgrade to Make Private Transactions 100x Lighter and 6x Faster
"Leading privacy coins Monero and Zcash are both displaying similar price patterns on their charts. An inverse head and shoulders pattern can be seen on each. The inverse head and shoulders patterns are considered trend reversal patterns, used to identify potential reversals in downtrends. Privacy has always been a key issue in the cryptocurrency world. [&#8230;]Inverse Head &#038; Shoulders Pattern In Play for Privacy Coins Monero [XMR] &#038; Zcash [ZEC] was originally found on [blokt] - Blockchain, Bitcoin &amp; Cryptocurrency News.",2018-10-25 15:54:10,blokt,Technical Analysis,Inverse Head & Shoulders Pattern In Play for Privacy Coins Monero [XMR] & Zcash [ZEC]
"ZCash was previously consolidating inside a symmetrical triangle with its higher lows and lower highs. Price just made an upside breakout to signal that bulls have won over and that gains are in the works. However, the 100 SMA is still below the longer-term 200 SMA to indicate that the path of least resistance is...The post ZCash Price Analysis: ZEC/USD Strong Bullish Breakout! appeared first on Live Bitcoin News.",2018-10-25 10:30:42,livebitcoinnews,Altcoin News|News|Trading|sapling|Zcash|zec|zecusd,ZCash Price Analysis: ZEC/USD Strong Bullish Breakout!
"In the world of Bitcoin and cryptocurrencies, a lot of the positive momentum shaping up yesterday evening has disappeared once again. It appears the markets simply can&#8217;t catch a breather, which causes all kinds of concern. For ZCash, things are still looking somewhat decent, as the ZEC value remains above $125. ZCash Price Uptrend is [&#8230;]The post ZCash Price Holds Steady at $125 as Sapling Upgrade Activation Looms Near appeared first on NullTX.",2018-10-25 07:02:59,themerkle,News|Price Analysis|Sapling|ZCash Price|ZEC,ZCash Price Holds Steady at $125 as Sapling Upgrade Activation Looms Near
"FOMO Moments Crypto land is still stagnant; Zcash, Ravencoin and MobileGo on the up, Decred and Bitcoin Diamond dumping. There has been another slight pullback today on crypto markets but nothing noteworthy. The sideways channel is still intact and total market capitalization is still at the same level it has been for the past ten...The post Cryptocurrency Trading Update: Sapling Keeps Zcash Green in Red Crypto Market appeared first on NewsBTC.",2018-10-25 04:18:07,newsbtc,Altcoins|FOMO|Asian trading session|Decred|Ravencoin|Sapling|ZCash|ZEC,Cryptocurrency Trading Update: Sapling Keeps Zcash Green in Red Crypto Market
"Arbitrage opportunities allow cryptocurrency traders to make some decent money regardless of their asset&#8217;s current value. In the case of the altcoins, there are plenty of options waiting to be explored. The following currencies and exchanges are worth keeping an eye on throughout the day, albeit timing will be crucial to making the most of [&#8230;]The post Arbitrage Today: BTC, Qtum, XMR, ZEC, EOS, TRX appeared first on NullTX.",2018-10-25 00:48:54,themerkle,BTC|Coins|EOS|Featured|TRX|altcoins|Arbitrage|exchange,"Arbitrage Today: BTC, Qtum, XMR, ZEC, EOS, TRX"
"Crypto markets continue trading sideways today, remaining relatively stable over the last 10 days",2018-10-24 20:30:00,cointelegraph,Altcoin|Bitcoin Price|Ethereum Price|Markets|Cryptocurrencies|Ripple|Dash|Tezos|Zcash,"Crypto Markets Keep Trading Sideways, Remaining Relatively Stable Over the Past 10 Days"
"These are pretty exciting times for the ZCash community. A lot of changes are happening in quick succession, and its price seems to be enjoying a relatively positive spell as well. The most recent ZCash wallet upgrade introduces some pretty big changes and improvements which are well worth looking into. #3 HD Key Generation The ZCash [&#8230;]The post 3 Reasons to Upgrade to the Latest ZCash Client Right Away appeared first on NullTX.",2018-10-22 20:14:15,themerkle,Featured|Sapling|wallet|Zcash|ZEC,3 Reasons to Upgrade to the Latest ZCash Client Right Away
"These are very exciting times for the ZCash community, by the look of things. The upcoming Sapling network upgrade will introduce a lot of positive changes to the network, though there are some other developments to take note of as well. Based on all of this momentum, it would seem the ZCash price will continue [&#8230;]The post 3 Recent ZCash Developments Sparking Community Excitement appeared first on NullTX.",2018-10-22 16:45:51,themerkle,Featured|News|altcoin|Zcash|ZEC,3 Recent ZCash Developments Sparking Community Excitement
"Even though this past weekend seemed to have a relatively positive impact on the ZCash price, things have taken a slight turn for the worse. There is no reason to panic just yet, but maintaining the $125 level will be an ongoing struggle, by the look of things. The recent positive developments should take care [&#8230;]The post ZCash Price Briefly Dips Below $125 Despite deVere Support appeared first on NullTX.",2018-10-22 08:06:03,themerkle,News|Price Analysis|deVere|ZCash Price|ZEC,ZCash Price Briefly Dips Below $125 Despite deVere Support
"Published on CoinnounceBias for ZCASH (ZEC)– Bullish Resistance Levels- 140, $160, $180 Support Levels- $80, $60. $40 &#160; ZEC is in a bullish trend on the long-term outlook. The cryptocurrency price has been on upward movement after the failure of bearish marubozu candle formed on 11th October. The bulls’ gradual return was confirmed by the bullish spinning [&#8230;]The post ZEC Long Term Price Analysis: 22 Oct appeared first on Coinnounce.",2018-10-22 04:47:08,coinnounce,#Daily Price Analysis|Altcoins|News|Opinion|Price Analysis|Trading|Zcash|Blockchain|daytrading|zcash analysis|Zcash blockchain|Zcash chart|Zcash forecast|Zcash future|Zcash news|Zcash prediction|Zcash price|Zcash price 2018|Zcash price analysis|Zcash price today|Zcash to bitcoin|Zcash to btc|Zcash to dollar|Zcash to usd|Zcash trade|Zcash trading|Zcash updates|Zcash wallet|ZEC|ZEC analysis|ZEC exchange|ZEC exchange rate|ZEC forecast|ZEC future|ZEC prediction|ZEC price|ZEC price analysis|ZEC to USD|ZEC trade|ZEC trading|ZEC USD chart|ZEC/USD|ZECUSD,ZEC Long Term Price Analysis: 22 Oct
"Today is a very unusual day in the world of cryptocurrencies. Especially in the altcoin department, things are looking a lot more positive than they have in a while. Although most of the gains are not notable, the optimism is certainly present. ZCash is the biggest gainer of the day in the top 20, as [&#8230;]The post ZCash Price Heads to $125 as Coinbase Listing Rumors Persist appeared first on NullTX.",2018-10-20 16:18:58,themerkle,News|Price Analysis|altcoin|Zcash|ZEC,ZCash Price Heads to $125 as Coinbase Listing Rumors Persist
