body,published_on,source,tags,title
Key Highlights ADA price fell sharply and traded below the $0.0700 and $0.065 supports against the US Dollar (tethered). There is a key bearish trend line formed with resistance at $0.0640 on the hourly chart of the ADA/USD pair (data feed via Bittrex). The pair is likely to decline once again if sellers push the...The post Cardano Price Analysis: ADA/USD Could Resume Losses Below $0.062 appeared first on NewsBTC.,2018-11-16 08:28:16,newsbtc,Analysis|Technical|ADA|Cardano,Cardano Price Analysis: ADA/USD Could Resume Losses Below $0.062
"On the 4-hour chart, the ADA price is in a bearish trend. The crypto&#39;s price fell to the low of $0.061 and commenced a range bound movement.",2018-11-15 12:15:00,cryptoglobe,,Cardano (ADA) Price Analysis – November 15
"Published on CoinnounceThe Cryptocurrency market faced huge bearish momentum in the last 24 hours with the upcoming bitcoin cash hardfork on the head. All major cryptocurrencies fell at least 15% to 20% in just a few hours. Bitcoin Cash Price Analysis Bitcoin Cash Price fell down from $534 to a sliding price of $421 falling more than 23% [&#8230;]The post Cryptocurrency Market losers of the day: BCH, XLM, IOTA, ETC and ADA appeared first on Coinnounce.",2018-11-15 07:35:50,coinnounce,#Daily Price Analysis|Altcoins|Cryptocurrency|News|Opinion|Price Analysis|Trading|Bitcoin Cash|Bitcoin Cash price|cardano|Cardano price|cryptocurrency|Cryptocurrency chart|cryptocurrency market|cryptocurrency price|cryptocurrency price analysis|Cryptocurrency Trading|ethereum classic|Ethereum Classic Price|IOTA|iota price|stellar|stellar price,"Cryptocurrency Market losers of the day: BCH, XLM, IOTA, ETC and ADA"
"On Tuesday (13 November 2018), Charles Hoskinson, the creator of Cardano (ADA) and the CEO of IOHK, announced to the Cardano community the good news that he had been hoping to deliver ever since he and Ken Kodama, the CEO of Emurgo, published a joint statement (on the IOHK blog) with the title &quot;An Open Letter to the Cardano Community from IOHK and Emurgo.&quot;",2018-11-14 07:40:30,cryptoglobe,,Charles Hoskinson: ‘The Babylonian Captivity of Cardano Has Ended’
"Over the last 24 hours, the crypto market has seen a drop of $3 billion from $212 billion to $209 billion, as major cryptocurrencies including Stellar (XLM) and Cardano (ADA) have fallen by 3 to 6 percent. Peculiarly, Stellar and Cardano are amongst three cryptocurrencies alongside Zcash that are expected to be integrated into Coinbase,The post $3 Billion Deleted From Crypto Market as Major Digital Assets Perform Poorly appeared first on CCN",2018-11-14 07:31:10,ccn,Altcoin Analysis|Bitcoin Analysis|News|Bitcoin|Cardano|Crypto|Stellar,$3 Billion Deleted From Crypto Market as Major Digital Assets Perform Poorly
Key Highlights ADA price failed to stay above the $0.0760 support and extended losses against the US Dollar (tethered). There was a break below a key bullish trend line with support at $0.0760 on the hourly chart of the ADA/USD pair (data feed via Bittrex). The pair may perhaps continue to move down towards the...The post Cardano Price Analysis: ADA/USD Could Extend Declines To $0.072 appeared first on NewsBTC.,2018-11-14 07:30:42,newsbtc,Analysis|Technical|ADA|Cardano,Cardano Price Analysis: ADA/USD Could Extend Declines To $0.072
"Every day in the cryptocurrency world comes with new opportunities to explore. Especially for those who simply want to score a quick buck by moving funds to and from exchanges, good money can be made in quick succession. Some intriguing arbitrage opportunities are popping up once again, albeit these gaps can close pretty quickly. Cardano [&#8230;]The post Crypto Arbitrage Today: ADA, QTUM, BTG, XLM, USDT, DASH appeared first on NullTX.",2018-11-14 03:36:14,themerkle,Featured|News|Arbitrage|Exchanges|trading,"Crypto Arbitrage Today: ADA, QTUM, BTG, XLM, USDT, DASH"
"CoinSpeaker5 Coins Coinbase Likely to Add NextAt the advent of an excessive Coinbase expansion, Coinspeaker worked out the list of digital coins that are expected to broaden the exchange's offering next.   5 Coins Coinbase Likely to Add Next",2018-11-13 20:29:38,coinspeaker,Altcoins|Cardano (ADA)|Cryptocurrencies|EOS (EOS)|News|Stellar (XLM)|XRP (XRP)|ada|binance coin|bnb|cardano|coinbase|eos|ripple|stellar|xlm|xrp,5 Coins Coinbase Likely to Add Next
The price of ADAUSD was initially down to $0.07368 in the demand area on 9th November before the minor pullback by the bull to $0.07822. in the supply area on 11th November.,2018-11-13 12:30:00,cryptoglobe,,Cardano (ADA) Long-term Price Analysis
"CoinSpeaker&#8216;Coinbase Effect&#8217; in Action: Cardano, Zcash and Stellar Prices Get a Boost Prior to ListingIn contemplation of Coinbase to list Cardano, Zcash, and Stellar, the prices of the coins have started to surge.&#8216;Coinbase Effect&#8217; in Action: Cardano, Zcash and Stellar Prices Get a Boost Prior to Listing",2018-11-12 09:53:21,coinspeaker,Altcoins|Cardano (ADA)|Cryptocurrencies|News|Stellar (XLM)|ada|bat|cardano|coinbase|stellar|xlm|zcash,"‘Coinbase Effect’ in Action: Cardano, Zcash and Stellar Prices Get a Boost Prior to Listing"
Key Highlights ADA price corrected lower recently and tested the $0.0738 support area against the US Dollar (tethered). There is a major bullish trend line formed with support at $0.0755 on the hourly chart of the ADA/USD pair (data feed via Bittrex). The pair is likely to climb higher once again above the $0.0780 resistance...The post Cardano Price Analysis: ADA/USD Could Resume Gains Above $0.080 appeared first on NewsBTC.,2018-11-12 08:28:12,newsbtc,Analysis|Technical|ADA|Cardano,Cardano Price Analysis: ADA/USD Could Resume Gains Above $0.080
"As the anticipation towards additional cryptocurrency integrations builds following the listing of Basic Attention Token (BAT) and 0x (ZRX), the prices of Cardano (ADA), Zcash (ZEC), and Stellar (XLM) have started to surge. Since November 2, the day BAT was officially integrated into Coinbase Pro and Coinbase.com, XLM, the native cryptocurrency of the Stellar blockchainThe post Cardano, Zcash, Stellar Surge Prior to Coinbase Listing; XLM up 27% appeared first on CCN",2018-11-12 05:52:22,ccn,Altcoin Analysis|News|Cardano|coinbase|Stellar|Zcash,"Cardano, Zcash, Stellar Surge Prior to Coinbase Listing; XLM up 27%"
"With most of the top cryptocurrencies struggling to remain in the green, speculators are looking well beyond the top 5 to make a quick buck. In the case of Cardano, the current market momentum seems rather promising in this regard. Although it remains unclear how long this trend will last this time around, there is [&#8230;]The post Cardano Price Increase Seems Bound to Retrace Quickly appeared first on NullTX.",2018-11-11 13:21:13,themerkle,News|Price Analysis|ADA|altcoin|Cardano Price,Cardano Price Increase Seems Bound to Retrace Quickly
"After failing to stabilize above $6,500, Bitcoin has now fallen into the $6,300 region, and it is becoming increasingly likely that it will test its long-established support level that exists at $6,200. Altcoins also took a hit on Friday after yesterday’s weak day of trading. Bitcoin Drifts Lower, $6,200 Likely to be Defended by Bulls...The post Bitcoin Falls to $6,300 Region as Altcoins Continue to Decline appeared first on NewsBTC.",2018-11-09 18:30:42,newsbtc,Bitcoin|ADA|BAT|BCH|bitcoin|btc|cryptocurrency,"Bitcoin Falls to $6,300 Region as Altcoins Continue to Decline"
"Crypto markets are seeing another mild downturn, with virtually all of the major cryptocurrencies in the red, Bitcoin dipping below the $6,400 mark",2018-11-09 17:30:00,cointelegraph,Altcoin|Markets|Cardano|Bitcoin Price|Ethereum|Cryptocurrencies|Bitcoin Cash|DASH|VeChain|ZCash,"Crypto Markets See Ongoing Mild Losses, Bitcoin Trades Below $6,400"
"Over the last 48 hours, since November 7, the global crypto market has lost $6 billion of its valuation as it dropped from $220 billion to $214 billion, while Bitcoin remained stable. On November 6, major cryptocurrencies including Bitcoin Cash (BCH), Ripple (XRP), Ethereum (ETH), Stellar (XLM), and Cardano (ADA) recorded large gains in theThe post $6 Billion Wiped Out of Crypto Market in 48 Hours: Where to Next? appeared first on CCN",2018-11-09 11:58:11,ccn,Bitcoin Analysis|News|Bitcoin,$6 Billion Wiped Out of Crypto Market in 48 Hours: Where to Next?
"CoinSpeakerCardano Price Analysis: ADA/USD Trends of November 09–15, 2018In case the demand zone of $0.075 holds, Cardano price will resume its uptrend movement which may break the supply zone of $0.081 upsideCardano Price Analysis: ADA/USD Trends of November 09–15, 2018",2018-11-09 10:07:37,coinspeaker,Altcoins|Cardano (ADA)|Cryptocurrencies|News|Reports|ada price|ada price analysis|ada price forecast|ada usd|cardano price|cardano price analysis|cardano price forecast,"Cardano Price Analysis: ADA/USD Trends of November 09–15, 2018"
Key Highlights ADA price traded above the $0.0800 resistance before correcting lower against the US Dollar (tethered). There was a break below a major bullish trend line with support at $0.0785 on the hourly chart of the ADA/USD pair (data feed via Bittrex). The pair remains at a risk of more declines below the $0.0770...The post Cardano Price Analysis: ADA/USD Could Correct Towards $0.075 appeared first on NewsBTC.,2018-11-09 08:28:57,newsbtc,Analysis|Technical|ADA|Cardano,Cardano Price Analysis: ADA/USD Could Correct Towards $0.075
"Popular cryptocurrency hardware wallet Trezor has introduced two firmware updates on both of its models – Trezor Model T and Trezor One. The move comes shortly after the wallet enabled its users to exchange directly through its interface. Trezor Model T Supports More Cryptocurrencies According to the official release, the new firmware for Trezor Model T will support a wider range of different cryptocurrencies. These include Monero, Cardano, Stellar, Ripple, Tezos, Decred, Lisk, Zencash, Groestlcoin,Read MoreThe post Trezor Model T Now Supports 10 More Cryptos Including Monero, Ripple appeared first on Bitcoinist.com.",2018-11-09 02:00:01,bitcoinist,Altcoin News|Bitcoin|Companies|Hardware|News|News teaser|Ripple|ADA|Cardano|Decred|Lisk|monero|ripple|tezos|TREZOR|Trezor Model T|XMR|XRP|ZCash,"Trezor Model T Now Supports 10 More Cryptos Including Monero, Ripple"
"On the 4-hour chart, the ADA price is in a bearish trend. The digital currency fell to the low of $0.76 and it is making a bullish movement upward. The Relative Strength Index period 14 is level 54 which indicates that the price is nearing the bullish trend zone.",2018-11-08 17:30:00,cryptoglobe,,Cardano (ADA) Price Analysis – November 8
"FOMO Moments The bears are back in play; Dash surviving the dump, Bitcoin Cash, Cardano, VeChain sliding. Rally anticipations have been quashed once again as markets are dumping. Just when a glimmer of hope started to shine in crypto land, the bears come back out and defecate all over it. Total crypto market cap has...The post Crypto Rally Hopes Quashed as Markets Dump Again appeared first on NewsBTC.",2018-11-08 05:08:42,newsbtc,Crypto|FOMO|BAT|bears|Bitcoin Cash|crypto markets|Dash|dump,Crypto Rally Hopes Quashed as Markets Dump Again
"Dimitris Hatzis says that he will combine ""leadership with execution and business development skills.""",2018-11-07 11:21:13,financemagnates,News|cardano|cryptocurrency|estonia|exchange|gibraltar|ironfx|ironx,New CEO of IronX is Group COO of IronFX
"It’s back to profitability for most altcoins as they register double digit gains. Leading the pack is XLM/USD and ADA/USD trading above important resistance levels. We expect most altcoins to keep expanding throughout this week as they reverse 2018 losses as price action form the foundation of a mega-rally. Let’s have a look at these...The post EOS, Litecoin, Stellar, Tron, Cardano Price Analysis: Early Stages of a Mega Rally appeared first on NewsBTC.",2018-11-07 08:21:25,newsbtc,Technical|ADA/USD Price Analysis|EOS/USD Price Analysis|Lite.im|Litecoin Facebook|LTC/USD Price Analysis|Tron Transactions|TRX/USD Price Analysis|XLM/USD Price Analysis,"EOS, Litecoin, Stellar, Tron, Cardano Price Analysis: Early Stages of a Mega Rally"
5th November saw ADAUSD made a daily high at $0.07976 in the supply area candle and a low of $0.07452 in the demand area.,2018-11-06 16:30:00,cryptoglobe,,Cardano (ADA) Long-term Price Analysis
"From Satoshi Nakamoto to Mrs. Watanabe: Interesting facts about the Japanese crypto market, traders’ investment preferences, and regulations",2018-11-05 21:29:00,cointelegraph,Bitcoin|Cryptocurrencies|Regulations|Satoshi Nakamoto|Mt.Gox|Coincheck|Cardano,The Mysterious East: Decrypting Japanese Crypto Traders
"Crypto markets are seeing a wave of growth, with all of the top twenty coins by market cap in the green, and solid BTC 24-hour trade volumes of $4.3 billion",2018-11-05 15:30:00,cointelegraph,Altcoin|Bitcoin Price|Ethereum Price|Markets|Ripple|Cardano|Litecoin|Cryptocurrencies|EOS|Bitcoin Cash|Dash,"Crypto Markets See Widespread Wave of Green, Bitcoin Pushes $6,500"
"Key Highlights ADA price traded higher recently and broke the $0.0750 resistance against the US Dollar (tethered). There are two bullish trend lines in place with support at $0.0740 and $0.0730 on the hourly chart of the ADA/USD pair (data feed via Bittrex). The pair remains well supported and buyers could attempt to push the...The post Cardano Price Analysis: ADA/USD Buyers In Control, $0.080 Next? appeared first on NewsBTC.",2018-11-05 08:28:10,newsbtc,Analysis|Technical|ADA|Cardano,"Cardano Price Analysis: ADA/USD Buyers In Control, $0.080 Next?"
"It would appear most of the top cryptocurrencies &#8211; except for Bitcoin, Ethereum, and Litecoin &#8211; are going through a very positive spell right now. In the case of Cardano, its value has been on the rise for several hours now. Positive ecosystem developments tend to have such a positive effect, although the uptrend can [&#8230;]The post Cardano Price Moves up as new Exchange Taps ADA as its Base Currency appeared first on NullTX.",2018-11-04 15:10:13,themerkle,News|Price Analysis|ADA|altcoin|Cardano Price,Cardano Price Moves up as new Exchange Taps ADA as its Base Currency
"The major currency exchange is also exploring Cardano, Zcash and 0x&#8230; U.S cryptocurrency exchange Coinbase is now accepting inbound transfers of Basic Attention Token (BAT), according to a blog post published on Friday. BAT is an Ethereum-based exchange that utilizes privacy-oriented web browser Brave. The major exchange will only enable trading on the BAT/USDC order [&#8230;]The post Coinbase will soon be supporting Basic Attention Token appeared first on CryptoNewsReview.",2018-11-04 10:24:30,cryptonewsreview,Crypto|News|Basic Attention Token|Coinbase,Coinbase will soon be supporting Basic Attention Token
Key Highlights ADA price found support near the $0.0680 level and recovered against the US Dollar (tethered). There was a break above a major bearish trend line with resistance at $0.0710 on the hourly chart of the ADA/USD pair (data feed via Bittrex). The pair is currently trading in a bullish zone and it could...The post Cardano Price Analysis: ADA/USD Eyeing Rebound Above $0.075 appeared first on NewsBTC.,2018-11-02 08:28:33,newsbtc,Analysis|Technical|ADA|Cardano,Cardano Price Analysis: ADA/USD Eyeing Rebound Above $0.075
"Even if prices are low and on-chain development slow, Charles Hoskinson and Cardano are literally hitting milestones. Though it could take a decade or more before Voltaire, once it goes live Cardano might easily outperform competing platforms. This is so because Cardano’s foundation is thorough with scientific verification. Price wise ADA/USD is technically bearish. Unless...The post Cardano Price Analysis: ADA/USD Sink and Stabilize Below 7 cents appeared first on NewsBTC.",2018-11-02 02:15:54,newsbtc,Technical|ADA/USD|ADA/USD Price Analysis|Cardano price Analysis|Charles Hoskinson Cardano|Latest Cardano News,Cardano Price Analysis: ADA/USD Sink and Stabilize Below 7 cents
"On the short term trend, the price of ADA is in a bearish trend.  The crypto’s price bars are below the 12-day EMA and 26-day EMA which indicates that the price is in the bearish trend zone.",2018-11-01 15:30:00,cryptoglobe,,CARDANO (ADA) Daily Price Analysis – November 1
"XRP, Bitcoin Cash, Cardano, Iota, Neo, VeChain falling hard, Tron survives while Maker and 0x recover well. For the eighth month this year cryptocurrency markets have fallen. October has been no exception with a 9.4% decline in total market capitalization. This has resulted in the loss of over $20 billion from cryptocurrencies during the month....The post October Crypto Market Review: Top 20 Cryptocurrencies Crushed appeared first on NewsBTC.",2018-11-01 14:30:52,newsbtc,Altcoins|Bitcoin|Crypto|0x|Bitcoin Cash|Cardano|crypto markets|maker|October|TRON|xrp|ZRX,October Crypto Market Review: Top 20 Cryptocurrencies Crushed
"On the 10th anniversary of the Bitcoin white paper, markets are seeing calm – most coins seeing fluctuations within a 2 percent range",2018-10-31 19:55:00,cointelegraph,Altcoin|Bitcoin Price|Ethereum Price|Markets|Ripple|Cardano|Litecoin|Cryptocurrencies|EOS|Stellar|Tron|Volatility|NEO|NEM|Bitcoin Cash,Crypto Markets Placid on 10th Anniversary of Bitcoin Whitepaper
Key Highlights ADA price declined further and traded below the $0.0700 support area against the US Dollar (tethered). There was a break below a contracting triangle with support at $0.0725 on the hourly chart of the ADA/USD pair (data feed via Bittrex). The pair is under pressure and it could accelerate declines below $0.0700 in...The post Cardano Price Analysis: ADA/USD Could Accelerate Below $0.070 appeared first on NewsBTC.,2018-10-31 08:28:37,newsbtc,Analysis|Technical|ADA|Cardano,Cardano Price Analysis: ADA/USD Could Accelerate Below $0.070
"At the face of bears, Cardano (ADA/USD) pair losses are steep. It’s down 18 percent in the last month as LTC/USD sink deeper into loss making territory despite market building announcements. This divergence between technical candlestick formation and fundamentals could temper prices. But first we need to see strong rejection of lower lows. Let’s have...The post Cardano (ADA/USD) Shed 18 percent as Bear Momentum Pick up appeared first on NewsBTC.",2018-10-31 02:00:35,newsbtc,Technical|ADA/USD Price Analysis|EOS Nation|EOS Referendum Tool|EOS/USD Price Analysis|LTC/USD Price Analysis|Star Light Stellar Network|TRX/USD Price Analysis|XLM/USD Price Analysis,Cardano (ADA/USD) Shed 18 percent as Bear Momentum Pick up
"                        On October 29, 2018, the Enterprise Ethereum Alliance (EEA) announced in Prague at DevCon 4 two new software specifications that will help businesses standardize future code developments on an enterprise version of the Ethereum blockchain.The first specification, Client Specification V2, defines the implementation requirements for Enterprise Ethereum clients, including interfaces to the external-facing components of Enterprise Ethereum and how they are intended to be used. The standardization of performance, permissioning and privacy demands of enterprise deployments are viewed as a necessary step by the EEA in order to help the growing number of vendors developing Ethereum clients to ensure that different clients can communicate with each other and all reliably work on an enterprise Ethereum network. EEA Executive Director Ron Resnick stated that “using the EEA Specification, Ethereum developers can write code that enables interoperability, thus motivating enterprise customers to select EEA specification-based solutions over proprietary offerings”. It should be noted that, while Ethereum has been basis for the majority of enterprise blockchain projects, 2018 has also seen developments using Cardano, EOS, QTUM and TRON, among others. Aside from digital currency, enterprise or platform tokenization remains a hotbed for blockchain-based startups, with the vast majority of those needing an ecosystem where ...",2018-10-30 19:19:20,bitcoinmagazine,Bitcoin|Ethereum,Standardized Specifications for Enterprise Version of Ethereum Announced
"Last week, we published the first part of our extensive interview with Charles Hoskinson, a co-Founder of Ethereum and Founder of the Cardano (ADA) project. The first two parts of our chat dealt with issues at the Cardano Foundation, a Swiss entity created to help steward Cardano’s development along with IOHK and Emurgo. During the [&#8230;]The post Charles Hoskinson on Tezos, Bitcoin sidechains, and smart contract platforms appeared first on Crypto Insider.",2018-10-29 18:15:23,cryptoinsider,Altcoins|Cryptocurrency|Ada|Bitcoin|Cardano|Charles Hoskinson|Ethereum|Interview|Liquid|Tezos,"Charles Hoskinson on Tezos, Bitcoin sidechains, and smart contract platforms"
"IronX, a digital asset exchange being developed by Cyprus-based foreign exchange provider IronFX, has sold 67.6 million tokens during its private sale. In total, IronX’s token sale raised approximately $22.3 million.The IronX exchange project was announced in June of 2018 as a joint initiative between IronFX and the EmurgoHK Group, a Hong Kong-based business entity contributing to the ongoing development of Cardano (ADA).",2018-10-29 12:40:00,cryptoglobe,,"Crypto Exchange Project, IronX, Raises $22.3 Million Through Private Token Sale"
"Key Highlights ADA price remains in a downtrend, with a solid resistance near the $0.0745 level against the US Dollar (tethered). There is an important bearish trend line formed with resistance at $0.0740 on the hourly chart of the ADA/USD pair (data feed via Bittrex). The pair is likely to struggle to clear the $0.0740...The post Cardano Price Analysis: ADA/USD Sliding Towards $0.070 appeared first on NewsBTC.",2018-10-29 08:28:34,newsbtc,Analysis|Technical|ADA|Cardano,Cardano Price Analysis: ADA/USD Sliding Towards $0.070
